phrase,thing,t_s,t_e,place,p_s,p_e,rating
the veal cutlet and spaghetti I had at Azteca Tacos was was bomb,veal cutlet and spaghetti,4,30,Azteca Tacos,39,52,was bomb
tasty helgolander hummerschnitte rheinterrasse University Of Chicago,helgolander hummerschnitte rheinterrasse,6,47,University Of Chicago,47,69,tasty
I thought the familys bean cake at Dunkin Donuts Baskin Robbins was bad,familys bean cake,14,32,Dunkin Donuts Baskin Robbins,35,64,bad
Keepers Kids small steak wfrozen herb butter bad,small steak wfrozen herb butter,13,45,Keepers Kids,0,13,bad
er hattenheim hinterhaus rieslingauslese Subway terrible,er hattenheim hinterhaus rieslingauslese,0,41,Subway,41,48,terrible
I thought the file mignon accompanied by vegetable hollandaise and sliced potatoes at Vines On Clark was terrible,file mignon accompanied by vegetable hollandaise and sliced potatoes,14,83,Vines On Clark,86,101,terrible
Cafe Med's lamb chops is could have been better,lamb chops   ,-1,13,Cafe Med,0,9,could have been better
could have been better kalt puterbrust und coburger schinken St Bede The Venerable,kalt puterbrust und coburger schinken,23,61,St Bede The Venerable,61,83,could have been better
Noodles Company's fruit salad with sapinette liqueur and petits fours is not that bad,fruit salad with sapinette liqueur and petits fours,18,70,Noodles  Company,-1,16,not that bad
my blue point or clam cocktail at Olafs Child Daycare Center Inc was tasty,blue point or clam cocktail,3,31,Olafs Child Daycare Center Inc,34,65,tasty
my braised short ribs of western beef w sauerkraut at Ravenswood Manor Child Care was decent,braised short ribs of western beef w sauerkraut,3,51,Ravenswood Manor Child Care,54,82,decent
my ron merito puerto rican mountain rum white label at El Milagro was delicious,ron merito puerto rican mountain rum  white label,-1,49,El Milagro,55,66,delicious
could have been better breast of milkfed veal glade with succotash Kanela Cafe,breast of milkfed veal glade with succotash,23,67,Kanela Cafe,67,79,could have been better
the pineapple au kirsch I had at Potbelly Sandwich Works Llc was delicious,pineapple au kirsch,4,24,Potbelly Sandwich Works Llc,33,61,delicious
johannisberg riesling chateau st jean v Symphony Of Morgan Park good,johannisberg riesling chateau st jean   v,-1,41,Symphony Of Morgan Park,40,64,good
not that bad potato croquettes pure au gratin Naf Naf Grill,potato croquettes pure au gratin,13,46,Naf Naf Grill,46,60,not that bad
Stockton's crepe creamed spinach is was bomb,crepe creamed spinach ,11,34,Stockton,0,9,was bomb
the loire at Cugini Pizza Eatery is okay,loire,4,10,Cugini Pizza  Eatery,-1,20,okay
Salud Tequila Lounge macedoine de fruits a la gelee good,macedoine de fruits a la gelee,21,52,Salud Tequila Lounge,0,21,good
my capon cutlets with green peas at Potash Bros Supermarket was was bomb,capon cutlets with green peas,3,33,Potash Bros Supermarket,36,60,was bomb
my sparkling hochheimer at Plenty was bad,sparkling hochheimer,3,24,Plenty,27,34,bad
I thought the our famous roast prime ribs of beef natural beef pan gravy at Magic Snack Shop was tasty,our famous roast prime ribs of beef  natural beef pan gravy,-1,59,Magic Snack Shop,76,93,tasty
El Palenque's dinner menue is decent,dinner menue,14,27,El Palenque,0,12,decent
graham ordinary port Cafe Utjeha Inc okay,graham ordinary port,0,21,Cafe Utjeha Inc,21,37,okay
silver cake au chcolat Food Less Midwest terrible,silver cake au chcolat,0,23,Food  Less Midwest ,-1,19,terrible
fruit cheese cake same as above Ub Dogs good,fruit cheese cake  same as above,-1,32,Ub Dogs,32,40,good
the minced patties financier at Pyramid Cuisine is could have been better,minced patties financier,4,29,Pyramid Cuisine,32,48,could have been better
good schweinefilet am spieb ungarische art mit hausgemachten spatzle und salat Davis Elementary,schweinefilet am spieb ungarische art mit hausgemachten spatzle und salat,5,79,Davis Elementary ,-1,17,good
Nice Cream's chausson chaud aux fruits de saison mm dattente is terrible,chausson chaud aux fruits de saison mm dattente,13,61,Nice Cream,0,11,terrible
I thought the on flights west at Halsted Street Deli was not that good,on flights west,14,30,Halsted Street Deli,33,53,not that good
the hennessy years brandy at Meztisoy Food Market is okay,hennessy   years brandy,-1,23,Meztisoy Food Market,29,50,okay
old schenley rye Lloyd could have been better,old schenley rye,0,17,Lloyd,17,23,could have been better
Take Me Out's steak de veau aux morilles is delicious,steak de veau aux morilles,14,41,Take Me Out,0,12,delicious
the valliant burgundy at Valley Jerk Spot is not that bad,valliant burgundy,4,22,Valley Jerk Spot,25,42,not that bad
bombe metropolitan Czerwone Jabluszko Restaurant not that good,bombe metropolitan,0,19,Czerwone Jabluszko Restaurant,19,49,not that good
the orig franz liquer cointreau at Citgo Gas is could have been better,orig franz liquer cointreau,4,32,Citgo Gas,35,45,could have been better
quaglie allamericana The Lorali was bomb,quaglie allamericana,0,21,The Lorali,21,32,was bomb
the kalbskopf schildkrotenart m kartoffeln I had at Sawyer was delicious,kalbskopf schildkrotenart m kartoffeln,4,43,Sawyer  ,-1,8,delicious
my corned beef hash poached egg at Burger King was not that good,corned beef hash poached egg ,3,33,Burger King ,35,48,not that good
I thought the veal stew en casserole at Sheraton Chicago Hotel Tower was delicious,veal stew en casserole,14,37,Sheraton Chicago Hotel  Tower,-1,29,delicious
cream cheese Carnitas Don Rafa Inc good,cream cheese,0,13,Carnitas Don Rafa Inc,13,35,good
pancakes suzette p Taco Bell acceptable,pancakes suzette p,0,19,Taco Bell,19,29,acceptable
acceptable breaded and french fried chicken legs Lawndale Food Market,breaded and french fried chicken legs,11,49,Lawndale Food Market,49,70,acceptable
seidel beer The Vault Cafe could have been better,seidel beer,0,12,The Vault Cafe,12,27,could have been better
okay breast of spring chicken fried maryland United Airlines Club,breast of spring chicken fried maryland,5,45,United Airlines Club,45,66,okay
I thought the roast gosling farci apple sauce at Huas Chinese Chop Suey Express was delicious,roast gosling farci  apple sauce,-1,32,Huas Chinese Chop Suey Express,49,80,delicious
my harlequin cream at Bamboo China was was bomb,harlequin cream,3,19,Bamboo China,22,35,was bomb
burgundy per glass Ab State Petroleum Inc tasty,burgundy per glass,0,19,Ab State Petroleum Inc,19,42,tasty
the steak pie in pan I had at Peeled Juice Bar Llc was terrible,steak pie in pan,4,21,Peeled Juice Bar Llc,30,51,terrible
the la truite flambee au fenouil I had at Nicks On North was could have been better,la truite flambee au fenouil,4,33,Nicks On North,42,57,could have been better
Naranjo Produce's broiled fresh salmon steak with lemon butter is bad,broiled fresh salmon steak with lemon butter,18,63,Naranjo Produce,0,16,bad
my split am champagne at City Cafe Inc was acceptable,split am champagne,3,22,City Cafe Inc,25,39,acceptable
Isabellas Bakery's saturday ham steak is delicious,saturday  ham steak,-1,19,Isabellas Bakery,0,17,delicious
I thought the beaujolais ch de corcelles at Tonys Kitchen Inc was not that good,beaujolais ch de corcelles,14,41,Tonys Kitchen Inc,44,62,not that good
North Ave Discount Store oppenheimer goldberg ja harth co decent,oppenheimer goldberg  ja harth  co,-1,34,North Ave Discount Store,0,25,decent
I thought the poached lemon sole veronoque at Harolds Chicken was bad,poached lemon sole veronoque,14,43,Harolds  Chicken,-1,16,bad
Jimmy Johns's braised ham with sauerkraut is acceptable,braised ham with sauerkraut,14,42,Jimmy Johns,0,12,acceptable
Pollos Don Neny gateau pistache bad,gateau pistache,16,32,Pollos Don Neny,0,16,bad
I thought the three fried eggs at Arcadian Sushi Inc was was bomb,three fried eggs,14,31,Arcadian Sushi Inc,34,53,was bomb
Subway's blue points on shell is good,blue points on  shell,-1,21,Subway,0,7,good
chamberlin chocolate cream after dinner mints New Life Academy not that good,chamberlin chocolate cream after dinner mints,0,46,New Life Academy,46,63,not that good
my small pot english breakfast tea with milk at Chicago Tech Academy was was bomb,small pot english breakfast tea with milk,3,45,Chicago Tech Academy ,48,70,was bomb
Edible Arrangements's huhnersuppe mit einlage is terrible,huhnersuppe mit einlage,22,46,Edible Arrangements,0,20,terrible
the saut de filet de buf garni de pommes I had at Moy Lee Restaurant was not that good,saut de filet de buf garni de pommes,4,41,Moy Lee Restaurant,50,69,not that good
I thought the coffee pot for two at Agees Pizzeria Grill was tasty,coffee pot for two,14,33,Agees Pizzeria  Grill,-1,21,tasty
Jaffa Bagel's filets mignons guizot is good,filets mignons guizot,14,36,Jaffa Bagel,0,12,good
Fannie Schmoes Bakery kall delikatesskinka med sallad special bad,kall delikatesskinka med sallad special,22,62,Fannie Schmoes Bakery,0,22,bad
was bomb mignon de filet de boeuf a la cardinalice Patrick Henry Elementary,mignon de filet de boeuf a la cardinalice,9,51,Patrick Henry Elementary,51,76,was bomb
I thought the schweinskotelett pommes lyonaise at Beard Elementary School was delicious,schweinskotelett pommes lyonaise,14,47,Beard Elementary School,50,74,delicious
Save Way Warehouse Market Inc half milkfed chicken saute acceptable,half milkfed chicken saute,30,57,Save Way Warehouse Market Inc,0,30,acceptable
chateau pacheteau Vice District Taproom good,chateau pacheteau,0,18,Vice District Taproom,18,40,good
the toasted tortillas at Hwa Won is sucked,toasted tortillas,4,22,Hwa Won,25,33,sucked
not that good edam american cheese Idoc,edam american cheese,14,35,Idoc,35,40,not that good
Sanos Pizzeria rhum collins not that bad,rhum collins,15,28,Sanos Pizzeria,0,15,not that bad
Buffalo Wild Wings's chicken a la king white meat only is delicious,chicken a la king white meat only,21,55,Buffalo Wild Wings,0,19,delicious
the rotzungenfilets at Mc Donalds is acceptable,rotzungenfilets,4,20,Mc Donalds,23,34,acceptable
the legymkrustader I had at Panaderia Los Gallos was good,legymkrustader,4,19,Panaderia Los Gallos,28,49,good
selle de chevreuil rotie Laramie Bakery Deli acceptable,selle de chevreuil rotie,0,25,Laramie Bakery  Deli,-1,20,acceptable
indische schildkrtensuppe The Burrito House acceptable,indische schildkrtensuppe,0,26,The Burrito House,26,44,acceptable
Manierre's strawberry ice cream and cake is tasty,strawberry ice cream and cake,11,41,Manierre,0,9,tasty
my chow yuk fried meat with green vegetables at Juliana Restaurant was delicious,chow yuk fried meat with green vegetables,3,45,Juliana Restaurant,48,67,delicious
old fashioned cole slaw with marinated raisins Perejil Restaurant Inc could have been better,old fashioned cole slaw with marinated raisins,0,47,Perejil Restaurant Inc,47,70,could have been better
the potage al aux pommes at Kids Count Too Daycare is not that bad,potage al aux pommes,4,25,Kids Count Too Daycare,28,51,not that bad
Family Dollar 's larded beef tenderloin is terrible,larded beef tenderloin,17,40,Family Dollar ,0,15,terrible
the broiled jumbo shrimp at Panda Express is decent,broiled jumbo shrimp,4,25,Panda Express ,28,43,decent
the lacrima christi j rouff at All Stars On Wells is not that bad,lacrima christi j rouff,4,28,All Stars On Wells,31,50,not that bad
old virginia peppers Victory Italian delicious,old virginia peppers,0,21,Victory Italian,21,37,delicious
tahitian rum punch Starbucks Coffee terrible,tahitian rum punch,0,19,Starbucks Coffee ,19,37,terrible
chicken consomme with semolina Legee Rice And Noodles decent,chicken consomme with semolina,0,31,Legee Rice And Noodles,31,54,decent
Monasteros Ristorante's langue a lepicure is bad,langue a lepicure,24,42,Monasteros  Ristorante,-1,22,bad
the aux tomates at Dunkin Donuts is was bomb,aux tomates,4,16,Dunkin Donuts,19,33,was bomb
tasty rochester Frescasita Market,rochester,6,16,Frescasita   Market,-1,19,tasty
blueish saute Subway decent,blueish saute,0,14,Subway,14,21,decent
not that bad home made salad dressing pint Redline Cafe And Stix n Brix,home made salad dressing  pint,-1,30,Redline Cafe And Stix n Brix,43,72,not that bad
Hong Kong Delight Iii Inc's fried new england clams is not that good,fried new england clams,28,52,Hong Kong Delight Iii Inc,0,26,not that good
good baked green lasagne Beverly Bakery Inc,baked green lasagne,5,25,Beverly Bakery Inc,25,44,good
my decaffeinated coffees available at Wolfys was okay,decaffeinated coffees available,3,35,Wolfys,38,45,okay
Pick Me Up Mart's miligapin gladik is acceptable,miligapin gladik,18,35,Pick Me Up Mart,0,16,acceptable
my kremser wieden at Columbia Explorers was terrible,kremser wieden,3,18,Columbia Explorers,21,40,terrible
Pepes Mexican Mexican Restaurant stuffed eggplants la mode du roussillon could have been better,stuffed eggplants  la mode du roussillon,-1,40,Pepes Mexican  Mexican Restaurant,-1,33,could have been better
the stauder pils I had at Little Kitchen was could have been better,stauder pils,4,17,Little Kitchen,26,41,could have been better
the volauvent aux huitres I had at Luella Food Store was good,volauvent aux huitres,4,26,Luella Food Store,35,53,good
the onions with steak I had at Leonas Restaurant was delicious,onions with steak,4,22,Leonas Restaurant,31,49,delicious
delicious single english mutton chop braisee Pie Cafe Llc,single english mutton chop braisee,10,45,Pie  Cafe  Llc,-1,14,delicious
the migon d veau saute at Kindred Chicagocentral Hospital is acceptable,migon d veau saute,4,23,Kindred Chicagocentral Hospital,26,58,acceptable
my ice cream with homemade cookies at Walgreens was could have been better,ice cream with homemade cookies,3,35,Walgreens ,38,49,could have been better
the limande micheline at Argo Tea is was bomb,limande micheline,4,22,Argo Tea,25,34,was bomb
canape a la turque Lou Malnatis Pizzeria was bomb,canape a la turque,0,19,Lou Malnatis Pizzeria,19,41,was bomb
Tannourin Bakery Sweets fresh atlantic salmon sucked,fresh atlantic salmon,24,46,Tannourin Bakery  Sweets,-1,24,sucked
delicious pettijohns Standard Restaurant,pettijohns,10,21,Standard Restaurant,21,41,delicious
my roast pork w broccoli at Mod Pizza was decent,roast pork w broccoli,3,25,Mod Pizza,28,38,decent
the raksallad at The Wit is not that good,raksallad,4,14,The Wit,17,25,not that good
Sodexho America Llc flounder tasty, flounder,19,29,Sodexho America Llc,0,20,tasty
the la poularde de bresse en cocotte a la parisienne I had at Nookies On Wells Inc was sucked,la poularde de bresse en cocotte a la parisienne,4,53,Nookies On Wells Inc,62,83,sucked
my ice box cake at Walgreens was was bomb,ice box cake,3,16,Walgreens ,19,30,was bomb
the rouelles dagneau nicoise I had at Savealot was tasty,rouelles dagneau nicoise,4,29,Savealot   ,-1,11,tasty
my portion prinzessbohnen at Anteprima was not that bad,portion prinzessbohnen,3,26,Anteprima,29,39,not that bad
